codelist,codelist_name,codelist_description,code_id,code_name,code_description,code_parent
ILO:CL_MEASURE(1.0),Measure,,CPI_NCPD_RT,"CPI, percentage change from previous period",This indicator shows the percentage change of the CPI between two consecutive periods.,
ILO:CL_MEASURE(1.0),Measure,,GED_PEPR_RT,Prime-age employment-to-population ratio,"The prime-age employment-to-population ratio is the number of persons aged 25 to 54 years who are employed as a percentage of the population aged 25 to 54 years. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,HOW_2TOT_NB,Total weekly hours worked of employed persons -- ILO modelled estimates,,
ILO:CL_MEASURE(1.0),Measure,,SSA_XEXP_NB,Total expenditures on ISSAs,No description available,
ILO:CL_MEASURE(1.0),Measure,,CPI_NCYR_RT,"CPI, percentage change from previous year",This indicator shows the percentage change of the CPI between a period and the same period of the previous year.,
ILO:CL_MEASURE(1.0),Measure,,GED_PLFP_RT,Prime-age labour force participation rate,"The prime-age labour force participation rate is the labour force of persons aged 25 to 54 years divided by the population aged 25 to 54 years. The labour force comprises all persons of working age who furnish the supply of labour for the production of goods and services during a specified time-reference period. It refers to the sum of all persons of working age who are employed and those who are unemployed. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,HOW_2TDP_RT,Ratio of total weekly hours worked to population aged 15-64 -- ILO modelled estimates,,
ILO:CL_MEASURE(1.0),Measure,,CPI_NWGT_NB,"CPI, country weights",<p>No description available</p>,
ILO:CL_MEASURE(1.0),Measure,,GED_PHOW_NB,Mean weekly hours actually worked of employed prime-age household members,"This indicator provides the average number of weekly hours actually worked by employed persons aged 25 to 54 years. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,GED_PEAR_NB,Average monthly earnings of employees who are prime-age household members,"This indicator provides the average monthly earnings for employees aged 25 to 54 years. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SDG_0111_RT,[1.1.1] Proportion of population below the international poverty line,"The working poverty rate conveys the percentage of employed persons living in poverty in spite of being employed. Poverty is defined using the international poverty line of US$1.90 per day in purchasing power parity (PPP). For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SDG_0131_RT,[1.3.1] Proportion of population covered by social protection floors/systems,"This indicator conveys the share of the population effectively covered by a social protection system, including social protection floors. It also provides the coverage rates of the main components of social protection: child and maternity benefits, support for persons without a job, persons with disabilities, victims of work injuries and older persons. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,EMP_NIFL_NB,Informal employment,"This harmonized series for informal employment is derived using the same set of criteria across countries to improve comparability. The criteria used are based on employment status, institutional sector, destination of production, bookkeeping, registration, social security contribution, places of work and size. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,EMP_PIFL_NB,Employment outside the formal sector,"This harmonized series for employment outside the formal sector is derived using the same set of criteria across countries to improve comparability. The criteria used are based on employment status, institutional sector, destination of production, bookkeeping, registration, social security contribution, places of work and size. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,EMP_NIFL_RT,Informal employment rate,"This harmonized series for informal employment is derived using the same set of criteria across countries to improve comparability. The criteria used are based on employment status, institutional sector, destination of production, bookkeeping, registration, social security contribution, places of work and size. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,EMP_PIFL_RT,Share of employment outside the formal sector,"This harmonized series for employment outside the formal sector is derived using the same set of criteria across countries to improve comparability. The criteria used are based on employment status, institutional sector, destination of production, bookkeeping, registration, social security contribution, places of work and size. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,CLD_TPOP_NB,Child population,"Children refer to persons ages 5-17 years old. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,CLD_XSNA_NB,Children in employment,"<p>This indicator refers to children ages 5-17 years old engaged in any form of market production and certain types of non-market production (principally that of goods such as agricultural produce for own use). This includes work in both the formal and informal economy, inside and outside family settings, for pay or profit (cash or in-kind, part-time or full-time) and domestic work outside the child's own household for an employer (paid or unpaid). For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,CLD_XSNN_NB,Children in employment not attending school,"<p>This indicator refers to children ages 5-17 years old engaged in any form of market production and certain types of non-market production (principally that of goods such as agricultural produce for own use). This includes work in both the formal and informal economy, inside and outside family settings, for pay or profit (cash or in-kind, part-time or full-time) and domestic work outside the child's own household for an employer (paid or unpaid). For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,CLD_XSNS_NB,Children in employment attending school,"<p>This indicator refers to children ages 5-17 years old engaged in any form of market production and certain types of non-market production (principally that of goods such as agricultural produce for own use). This includes work in both the formal and informal economy, inside and outside family settings, for pay or profit (cash or in-kind, part-time or full-time) and domestic work outside the child's own household for an employer (paid or unpaid). For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,CLD_XHAZ_NB,Children in hazardous work,"Children refer to persons ages 5-17 years old. Hazardous work is measured on the basis of a list of hazardous industries and occupations, excessive working hours performed for 43 or more hours per week, and hazardous working conditions (such as night work). For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,CLD_XHAD_NB,Children in hazardous domestic work,"<p>Children refer to persons ages 5-17 years old. Hazardous work is measured on the basis of a list of hazardous industries and occupations, excessive working hours performed for 43 or more hours per week, and hazardous working conditions (such as night work). Domestic work must be outside of the child's own household for an employer (paid or unpaid). For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,CLD_XHAN_NB,Children in hazardous work not attending school,"Children refer to persons ages 5-17 years old. Hazardous work is measured on the basis of a list of hazardous industries and occupations, excessive working hours performed for 43 or more hours per week, and hazardous working conditions (such as night work). For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,CLD_XHAS_NB,Children in hazardous work attending school,"Children refer to persons ages 5-17 years old. Hazardous work is measured on the basis of a list of hazardous industries and occupations, excessive working hours performed for 43 or more hours per week, and hazardous working conditions (such as night work). For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,CLD_XCHL_NB,Children in child labour,"<p>Child labour includes: (a) children 5-11 years old who did at least one hour of economic activity and/or more than 21 hours of unpaid household services, (b) children 12-14 years old who did at least 14 hours of economic activity and/or more than 21 hours of unpaid household services, and (c) children 15-17 years old who did at least 43 hours of economic activity. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,CLD_XCHD_NB,Children in child labour in domestic work,"<p>Child labour includes: (a) children 5-11 years old who did at least one hour of economic activity and/or more than 21 hours of unpaid household services, (b) children 12-14 years old who did at least 14 hours of economic activity and/or more than 21 hours of unpaid household services, and (c) children 15-17 years old who did at least 43 hours of economic activity. Domestic work must be outside of the child's own household for an employer (paid or unpaid). For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,CLD_XCHN_NB,Children in child labour not attending school,"<p>Child labour includes: (a) children 5-11 years old who did at least one hour of economic activity and/or more than 21 hours of unpaid household services, (b) children 12-14 years old who did at least 14 hours of economic activity and/or more than 21 hours of unpaid household services, and (c) children 15-17 years old who did at least 43 hours of economic activity. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,CLD_XCHS_NB,Children in child labour attending school,"<p>Child labour includes: (a) children 5-11 years old who did at least one hour of economic activity and/or more than 21 hours of unpaid household services, (b) children 12-14 years old who did at least 14 hours of economic activity and/or more than 21 hours of unpaid household services, and (c) children 15-17 years old who did at least 43 hours of economic activity. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,CLD_XSND_NB,Children in domestic work,"<p>Children refer to persons ages 5-17 years old. Domestic work must be outside of the child's own household for an employer (paid or unpaid). For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,CLD_XSNA_RT,Share of children engaged in economic activity,"<p><strong>This indicator is based on harmonized definitions used by the ILO in the context of producing global estimates. Data may differ from nationally reported figures. </strong>This indicator refers to children ages 5-17 years old engaged in any form of market production and certain types of non-market production (principally that of goods such as agricultural produce for own use). This includes work in both the formal and informal economy, inside and outside family settings, for pay or profit (cash or in-kind, part-time or full-time) and domestic work outside the child's own household for an employer (paid or unpaid). For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,CLD_XCHL_RT,Share of children in child labour,"<p><strong>This indicator is based on harmonized definitions used by the ILO in the context of producing global estimates. Data may differ from nationally reported figures. </strong>Child labour includes: (a) children 5-11 years old who did at least one hour of economic activity and/or more than 21 hours of unpaid household services, (b) children 12-14 years old who did at least 14 hours of economic activity and/or more than 21 hours of unpaid household services, and (c) children 15-17 years old who did at least 43 hours of economic activity. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,CLD_XHAZ_RT,Share of children in hazardous work,"<strong>This indicator is based on harmonized definitions used by the ILO in the context of producing global estimates. Data may differ from nationally reported figures. </strong>Children refer to persons ages 5-17 years old. Hazardous work is measured on the basis of a list of hazardous industries and occupations, excessive working hours performed for 43 or more hours per week, and hazardous working conditions (such as night work). For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SDG_0552_RT,[5.5.2] Proportion of women in senior and middle management positions,"<p>The female share of employment in managerial positions conveys the number of women in management as a percentage of employment in management. Employment in management is defined based on the International Standard Classification of Occupations. This series refers to senior and middle management only, thus excluding junior management (category 1 in both ISCO-08 and ISCO-88 minus category 14 in ISCO-08 and minus category 13 in ISCO-88). There is another series referring to total management (category 1 of ISCO-08 or ISCO-88). This indicator is calculated based on data on employment by sex and occupation. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,SDG_T552_RT,[5.5.2] Proportion of women in managerial positions,"The female share of employment in managerial positions conveys the number of women in management as a percentage of employment in management. Employment in management is defined based on the International Standard Classification of Occupations. This series refers to total management (category 1 of ISCO-08 or ISCO-88). There is another series referring to senior and middle management only, thus excluding junior management (category 1 in both ISCO-08 and ISCO-88 minus category 14 in ISCO-08 and minus category 13 in ISCO-88). This indicator is calculated based on data on employment by sex and occupation. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SDG_B821_RT,[8.2.1] Annual growth rate of real GDP per employed person (GDP constant 2017 international $ in PPP),"<p>This indicator conveys the annual growth rates of labour productivity. Labour productivity represents the total volume of output (measured in terms of Gross Domestic Product, GDP) produced per unit of labour (measured in terms of the number of employed persons) during a given time reference period. The indicator allows data users to assess GDP-to-labour input levels and growth rates over time, thus providing general information about the efficiency and quality of human capital in the production process for a given economic and social context, including other complementary inputs and innovations used in production. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,SDG_A821_RT,[8.2.1] Annual growth rate of real GDP per employed person (GDP constant 2010 US $),"This indicator conveys the annual growth rates of labour productivity. Labour productivity represents the total volume of output (measured in terms of Gross Domestic Product, GDP) produced per unit of labour (measured in terms of the number of employed persons) during a given time reference period. The indicator allows data users to assess GDP-to-labour input levels and growth rates over time, thus providing general information about the efficiency and quality of human capital in the production process for a given economic and social context, including other complementary inputs and innovations used in production. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SDG_0831_RT,[8.3.1] Proportion of informal employment in total employment,"This indicator conveys the share of informal employment in total employment. Employment comprises all persons of working age who, during a specified brief period, were either in paid employment (whether at work or with a job but not at work) or in self-employment (whether at work or with an enterprise but not at work). Informal employment comprises persons who in their main or secondary jobs were (a) own-account workers, employers and members of producers&rsquo; cooperatives employed in their own informal sector enterprises; (b) own-account workers engaged in the production of goods exclusively for own final use by their household (e.g. subsistence farming); (c) contributing family workers, regardless of whether they work in formal or informal sector enterprises; or (d) employees holding informal jobs, whether employed by formal sector enterprises, informal sector enterprises, or as paid domestic workers by households. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SDG_0851_NB,[8.5.1] Average hourly earnings of female and male employees,"This indicator presents data by sex on employees&#39; average hourly earnings. The concept of earnings, as applied in wage statistics, relates to gross remuneration in cash and in kind paid to employees, as a rule at regular intervals, for time worked or work done together with remuneration for time not worked, such as annual vacation, other type of paid leave or holidays. Earnings exclude employers&#39; contributions in respect of their employees paid to social security and pension schemes and also the benefits received by employees under these schemes. Earnings also exclude severance and termination pay. Data are also disaggregated by occupation. Statistics on average hourly earnings by sex are the basis for the calculation of the gender pay gap. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SDG_0852_RT,[8.5.2] Unemployment rate,"The unemployment rate conveys the number of persons who are unemployed as a percent of the labour force (i.e., the employed plus the unemployed). The unemployed comprise all persons of working age who were: a) without work during the reference period, i.e. were not in paid employment or self-employment; b) currently available for work, i.e. were available for paid employment or self-employment during the reference period; and c) seeking work, i.e. had taken specific steps in a specified recent period to seek paid employment or self-employment. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SDG_0861_RT,"[8.6.1] Proportion of youth (aged 15-24 years) not in education, employment or training","The share of youth not in education, employment or training (also known as &quot;the NEET rate&quot;) conveys the number of young persons not in education, employment or training as a percentage of the total youth population. It provides a measure of youth who are outside the educational system, not in training and not in employment, and thus serves as a broader measure of potential youth labour market entrants than youth unemployment, since it also includes young persons outside the labour force not in education or training. This indicator is also a better measure of the current universe of potential youth labour market entrants compared to the youth inactivity rate, as the latter includes those youth who are not in the labour force and are in education, and thus cannot be considered currently available for work. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SDG_B871_RT,[8.7.1] Proportion of children engaged in economic activity,"Estimates on economic activity and household chores among children aged 5-17 refer to: (a) children 5&ndash;11 years old who, during the reference week, did at least one hour of economic activity or at least 21 hours of household chores, (b) children 12&ndash;14 years old who, during the reference week, did at least 14 hours of economic activity or at least 21 hours of household chores, (c) children 15&ndash;17 years old who, during the reference week, did at least 43 hours of economic activity. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SDG_A871_RT,[8.7.1] Proportion of children engaged in economic activity and household chores,"Estimates on economic activity among children aged 5-17 refer to: (a) children 5&ndash;11 years old who, during the reference week, did at least one hour of economic activity, (b) children 12&ndash;14 years old who, during the reference week, did at least 14 hours of economic activity, (c) children 15&ndash;17 years old who, during the reference week, did at least 43 hours of economic activity. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SDG_N881_RT,[8.8.1] Non-fatal occupational injuries per 100'000 workers,"This indicator conveys the rate of non-fatal occupational injuries per 100&#39;000 workers in the reference group. An occupational injury is defined as any personal injury, disease or death resulting from an occupational accident; an occupational injury is therefore distinct from an occupational disease, which is a disease contracted as a result of an exposure over a period of time to risk factors arising from work activity. An occupational accident is an unexpected and unplanned occurrence, including acts of violence, arising out of or in connection with work which results in one or more workers incurring a personal injury, disease or death. A case of occupational injury is the case of one worker incurring an occupational injury as a result of one occupational accident. An occupational injury could be fatal (as a result of occupational accidents and where death occurred within one year of the day of the accident) or non-fatal with lost work time. The workers in the particular group under consideration and covered by the source of the statistics of occupational injuries are known as the workers in the reference group. In the case of a notification system, it is the number of workers in, for example, the establishments or selected economic activities covered by the system as set out in the relevant legislation or regulations. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SDG_F881_RT,[8.8.1] Fatal occupational injuries per 100'000 workers,"This indicator conveys the rate of fatal occupational injuries per 100&#39;000 workers in the reference group. An occupational injury is defined as any personal injury, disease or death resulting from an occupational accident; an occupational injury is therefore distinct from an occupational disease, which is a disease contracted as a result of an exposure over a period of time to risk factors arising from work activity. An occupational accident is an unexpected and unplanned occurrence, including acts of violence, arising out of or in connection with work which results in one or more workers incurring a personal injury, disease or death. A case of occupational injury is the case of one worker incurring an occupational injury as a result of one occupational accident. An occupational injury could be fatal (as a result of occupational accidents and where death occurred within one year of the day of the accident) or non-fatal with lost work time. The workers in the particular group under consideration and covered by the source of the statistics of occupational injuries are known as the workers in the reference group. In the case of a notification system, it is the number of workers in, for example, the establishments or selected economic activities covered by the system as set out in the relevant legislation or regulations. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SDG_0882_RT,[8.8.2] Level of national compliance with labour rights (freedom of association and collective bargaining) based on ILO textual sources and national legislation,"<p>SDG indicator 8.8.2 seeks to measure the level of national compliance with fundamental labour rights (freedom of association and collective bargaining or FACB). It has a range from 0 to 10, with 0 being the best possible score (indicating higher levels of compliance with FACB rights) and 10 the worst (indicating lower levels of compliance with FACB rights). It is based on six ILO supervisory body textual sources and also on national legislation. National law is not enacted for the purpose of generating a statistical indicator of compliance with fundamental rights, nor were any of the ILO textual sources created for this purpose. Indicator 8.8.2 is compiled from these sources and its use does not constitute a waiver of the respective ILO Constituents> divergent points of view on the sources> conclusions. SDG indicator 8.8.2 is not intended as a tool to compare compliance among ILO member States. It should specifically be noted that reporting obligations of an ILO member State to the ILO>s supervisory system and thus ILO textual sources are different for ratifying and non-ratifying ILO member States.</p>",
ILO:CL_MEASURE(1.0),Measure,,SDG_0922_RT,[9.2.2] Manufacturing employment as a proportion of total employment,"This indicator conveys the share of employment in manufacturing. Employment in manufacturing is defined based on the International Standard Industrial Classification of All Economic Activities (ISIC). Employment refers to all persons of working age who, during a specified brief period, were in paid employment (whether at work or with a job but not at work) or in self-employment (whether at work or with an enterprise but not at work). This indicator is calculated based on data on employment by sex and economic activity. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,EMP_2TRU_NB,Time-related underemployment -- ILO modelled estimates,"<strong>Imputed observations are not based on national data, are subject to high uncertainty and should not be used for country comparisons or rankings. </strong> &nbsp; For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,LUU_2LU2_RT,Combined rate of time-related underemployment and unemployment (LU2) -- ILO modelled estimates,"<strong>Imputed observations are not based on national data, are subject to high uncertainty and should not be used for country comparisons or rankings. </strong> LU2 represents the share of the labour force that are either in unemployment or time-related underemployment. This indicator is part of the&nbsp;<em>ILO Estimates and Projections</em> series. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,LUU_2LU4_RT,Composite rate of labour underutilization (LU4) -- ILO modelled estimates,"<strong>Imputed observations are not based on national data, are subject to high uncertainty and should not be used for country comparisons or rankings. </strong> LU4 represents the share of the extended labour force that are in unemployment, time-related underemployment or the potential labour force. This indicator is part of the&nbsp;<em>ILO Estimates and Projections</em> series. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,MNA_TPOP_NB,Stock of nationals abroad,"Stock of nationals abroad comprise the persons whose country of usual residence is not the same as their country of origin for any given country of origin. A person&#39;s country of residence is the country in which the person has a place to live where he or she normally spends the daily period of rest. A person&#39;s country of origin is that from which the person originates, i.e. the country of his or her citizenship (or, in the case of stateless persons, the country of usual residence). Data are disaggregated by sex. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,MST_FORE_NB,Employed foreign-born persons,No description available,
ILO:CL_MEASURE(1.0),Measure,,MST_FORP_NB,Foreign-born population,No description available,
ILO:CL_MEASURE(1.0),Measure,,MST_NCTE_NB,Employed non-citizens,No description available,
ILO:CL_MEASURE(1.0),Measure,,MST_NCTP_NB,Non-citizen population,No description available,
ILO:CL_MEASURE(1.0),Measure,,MST_TEAP_NB,Labour force,"The labour force comprises all persons of working age who furnish the supply of labour for the production of goods and services during a specified time-reference period. It refers to the sum of all persons of working age who are employed and those who are unemployed. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,MST_TEAP_RT,Labour force participation rate,"The labour force participation rate expresses the labour force as a percent of the working-age population. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,MST_TEIP_RT,Inactivity rate,"This indicator conveys the number of persons of working age outside the labour force (that is, not employed or unemployed) expressed as a percentage of the working-age population. The working-age population is commonly defined as persons aged 15 years and older, but this varies from country to country. In addition to using a minimum age threshold, certain countries also apply a maximum age limit. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,MST_TEMP_RT,Employment-to-population ratio,"The employment-to-population ratio is the number of persons who are employed as a percent of the total of working age population. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,MST_TUNE_RT,Unemployment rate,"The unemployment rate conveys the number of persons who are unemployed as a percent of the labour force (i.e., the employed plus the unemployed). The unemployed comprise all persons of working age who were: a) without work during the reference period, i.e. were not in paid employment or self-employment; b) currently available for work, i.e. were available for paid employment or self-employment during the reference period; and c) seeking work, i.e. had taken specific steps in a specified recent period to seek paid employment or self-employment. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,MST_XWAP_NB,Working-age population,No description available,
